card_id,card_name,issuer,network,annual_fee,reward_type,base_reward_rate,grocery_reward_rate,fuel_reward_rate,dining_reward_rate,travel_reward_rate,online_shopping_reward_rate,welcome_offer,foreign_transaction_fee,apr_range,notable_conditions,limitations,target_user_type,source_url,notes
CC001,American Express Platinum Cashback Everyday,American Express,American Express,0,Cashback,0.5,0.5,0,0.5,0,0.5,"£500 welcome cashback after £3000 spend in first 3 months",0%,"45.9% representative APR","No annual fee, high APR","Amex not accepted everywhere","cashback-seeker, everyday-spender","https://www.americanexpress.com/uk/credit-cards/platinum-cashback-everyday/","Entry‑level cashback card with solid grocery rewards"
CC002,American Express Platinum Cashback,American Express,American Express,25,Cashback,0.5,0.5,0,0.5,0,0.5,"£1000 welcome cashback after £3000 spend in first 3 months",0%,"45.9% representative APR","Annual fee applies","Amex not accepted everywhere","cashback-seeker, high-spender","https://www.americanexpress.com/uk/credit-cards/platinum-cashback/","Higher fee for larger welcome offer"
CC003,Barclaycard Rewards,Barclaycard,Visa,0,Cashback,0.5,2,0,1,0,0.5,"£500 welcome cashback after £3000 spend",0%,"13.9% - 23.9% APR","No annual fee","No foreign transaction fee","cashback-seeker, everyday-spender","https://www.barclaycard.co.uk/rewards-card","Strong grocery and fuel rewards"
CC004,Barclaycard Forward Credit Card,Barclaycard,Visa,0,,0,0,0,0,0,0,"No welcome offer",0%,"33.9% representative APR","Designed for credit‑building","No rewards","credit-builder, student","https://www.barclaycard.co.uk/forward-credit-card","Ideal for building credit history"
CC005,Capital One Classic Credit Card,Capital One,Visa,0,,0,0,0,0,0,0,"No welcome offer",0%,"26.9% representative APR","No annual fee","No rewards","credit-builder, student","https://www.capitalone.co.uk/credit-card/classic","Simple card for beginners"
CC006,Virgin Money Cashback Credit Card,Virgin Money,Mastercard,0,Cashback,0.5,4,0,2,0,0,"£150% cashback on first £500 spend",0%,"12.5% - 22.5% APR","No annual fee","High cashback rate for groceries","cashback-seeker, everyday-spender","https://www.virginmoney.com/credit-cards/cashback","Very high grocery cashback"
CC007,British Airways American Express,Barclays,American Express,0,Points,0,0,0,0,1.5,0,"2 Avios per £1 on BA spend, 3000 Avios welcome bonus",0%,"20.9% representative APR","No annual fee with spend requirement","Avios not usable everywhere","traveller, frequent_flyer","https://www.ba.com/credit-card","Airline miles card"
CC008,American Express Preferred Rewards Gold,American Express,American Express,125,Points,0,2,0,2,1,1,"30,000 Membership Rewards points after £3000 spend",2.99%,"26.9% representative APR","Annual fee","Points can be transferred to airlines","traveller, high-spender","https://www.americanexpress.com/uk/credit-cards/preferred-rewards-gold/","Premium travel rewards"
CC009,Sainsbury's Bank Nectar Credit Card,Sainsbury's,Mastercard,0,Points,0,0,0,0,0,0,"£5 Nectar bonus after £500 spend",0%,"12.9% - 22.9% APR","No annual fee","Nectar points limited to Sainsbury's","online-shopper, everyday-spender","https://www.sainsburysbank.co.uk/credit-cards/nectar","Nectar loyalty program"
CC010,John Lewis Partnership Credit Card,John Lewis,Mastercard,0,Points,0,0,0,0,0,0,"£25 John Lewis voucher after £1000 spend",0%,"26.9% representative APR","No annual fee","Points redeemable at John Lewis","online-shopper, high-spender","https://www.johnlewispartnership.co.uk/credit-card","Retail partnership card"
CC011,HSBC Student Credit Card,HSBC,Visa,0,,0,0,0,0,0,0,"No welcome offer",0%,"22.9% representative APR","No annual fee","Designed for students","student, credit-builder","https://www.hsbc.co.uk/1/2/student-credit-card","Student focused"
CC012,NatWest Reward Credit Card,NatWest,Mastercard,0,Cashback,0.5,2,5,1,3,4,"20% cashback on first £300 spend",0%,"14.9% - 24.9% APR","No annual fee","High fuel cashback","cashback-seeker, everyday-spender","https://www.natwest.com/credit-cards/reward","Fuel heavy rewards"
CC013,Halifax World Elite Mastercard,Halifax,Mastercard,0,Points,0,0,0,0,2,0,"Free travel insurance, 2% points on travel",0%,"19.9% representative APR","No annual fee","Travel focused points","traveller, frequent_flyer","https://www.halifax.co.uk/credit-cards/world-elite","Travel benefits"
CC014,Tesco Bank Foundation Credit Card,Tesco,Visa,0,,0,0,0,0,0,0,"No welcome offer",0%,"19.9% representative APR","No annual fee","No rewards","credit-builder, student","https://www.tescobank.com/credit-cards/foundation","Basic card for building credit"
CC015,MBNA Everyday Plus Credit Card,MBNA,Visa,0,Cashback,0.5,5,3,3,2,1,"£3000 points after £3000 spend",0%,"12.9% - 22.9% APR","No annual fee","High grocery rewards","cashback-seeker, everyday-spender","https://www.mbna.co.uk/credit-cards/everyday-plus","High grocery points"
CC016,Santander All in One Credit Card,Santander,Mastercard,0,Cashback,0.5,3,4,2,2,3,"10% cashback on first £200 spend",0%,"12.5% - 22.5% APR","No annual fee","Balanced rewards across categories","cashback-seeker, balanced-spender","https://www.santander.co.uk/credit-cards/all-in-one","All‑in‑one rewards"
CC017,HSBC Cashback Credit Card,HSBC,Visa,0,Cashback,0.5,1,0,2,0,0,"£500 cashback after £2500 spend",0%,"13.5% - 21.5% APR","No annual fee","Low fee, modest cashback","cashback-seeker, low-spender","https://www.hsbc.co.uk/credit-cards/cashback","Simple cash back card"
CC018,Lloyds Cashback Credit Card,Lloyds,Visa,30,Cashback,0.5,4,2,4,5,2,"2000 points after £1500 spend",0%,"12.9% - 22.9% APR","Annual fee £30","Higher fee for travel benefits","cashback-seeker, traveller","https://www.lloydsbank.com/credit-cards/cashback","Travel oriented"
CC019,Barclaycard Forward (Student) Credit Card,Barclaycard,Visa,0,,0,0,0,0,0,0,"No welcome offer",0%,"33.9% representative APR","Designed for students","No rewards","credit-builder, student","https://www.barclaycard.co.uk/forward-student","Student credit building"
CC020,Aqua Classic Credit Card,Aqua,Visa,0,,0,0,0,0,0,0,"No welcome offer",0%,"21.9% representative APR","No annual fee","No rewards","credit-builder, student","https://www.aquacreditcard.co.uk/","Entry level card"
